primaryCaseID,justiceID,justiceName
1,34,PKerwin
1,36,RTaschereau
1,42,JHGFauteux
1,46,WJudson
2,34,PKerwin
2,40,CHLocke
2,41,JRCartwright
2,46,WJudson
3,37,ICRand
3,40,CHLocke
3,41,JRCartwright
3,45,RMartland
4,37,ICRand
4,40,CHLocke
4,41,JRCartwright
4,45,RMartland
5,37,ICRand
5,41,JRCartwright
5,43,DCAbbott
5,46,WJudson
6,34,PKerwin
6,37,ICRand
6,40,CHLocke
6,46,WJudson
7,34,PKerwin
7,37,ICRand
7,41,JRCartwright
7,46,WJudson
8,34,PKerwin
8,37,ICRand
8,42,JHGFauteux
8,43,DCAbbott
9,34,PKerwin
9,36,RTaschereau
9,40,CHLocke
9,43,DCAbbott
10,34,PKerwin
10,42,JHGFauteux
10,45,RMartland
10,46,WJudson
11,34,PKerwin
11,45,RMartland
12,34,PKerwin
12,40,CHLocke
12,41,JRCartwright
12,45,RMartland
13,34,PKerwin
13,37,ICRand
13,40,CHLocke
13,46,WJudson
14,37,ICRand
14,41,JRCartwright
14,43,DCAbbott
14,46,WJudson
15,34,PKerwin
15,37,ICRand
15,42,JHGFauteux
15,45,RMartland
16,34,PKerwin
16,37,ICRand
16,43,DCAbbott
16,46,WJudson
17,34,PKerwin
17,36,RTaschereau
17,37,ICRand
17,46,WJudson
18,34,PKerwin
18,37,ICRand
18,40,CHLocke
18,46,WJudson
19,34,PKerwin
19,36,RTaschereau
19,37,ICRand
19,46,WJudson
20,34,PKerwin
20,36,RTaschereau
20,37,ICRand
20,46,WJudson
21,34,PKerwin
21,37,ICRand
21,42,JHGFauteux
21,43,DCAbbott
22,37,ICRand
22,40,CHLocke
22,41,JRCartwright
22,45,RMartland
23,34,PKerwin
23,36,RTaschereau
23,37,ICRand
23,46,WJudson
24,36,RTaschereau
24,37,ICRand
24,40,CHLocke
24,42,JHGFauteux
25,36,RTaschereau
25,37,ICRand
25,42,JHGFauteux
25,43,DCAbbott
26,36,RTaschereau
26,37,ICRand
26,41,JRCartwright
26,42,JHGFauteux
28,34,PKerwin
28,37,ICRand
28,41,JRCartwright
28,45,RMartland
29,34,PKerwin
29,37,ICRand
29,40,CHLocke
29,45,RMartland
30,34,PKerwin
30,37,ICRand
30,41,JRCartwright
30,45,RMartland
31,34,PKerwin
31,36,RTaschereau
31,37,ICRand
31,46,WJudson
32,37,ICRand
32,40,CHLocke
32,42,JHGFauteux
32,43,DCAbbott
33,34,PKerwin
33,36,RTaschereau
33,41,JRCartwright
33,47,RARitchie
34,40,CHLocke
34,42,JHGFauteux
34,46,WJudson
34,47,RARitchie
35,34,PKerwin
35,36,RTaschereau
35,46,WJudson
35,47,RARitchie
36,34,PKerwin
36,36,RTaschereau
36,42,JHGFauteux
37,36,RTaschereau
37,37,ICRand
37,42,JHGFauteux
37,43,DCAbbott
38,34,PKerwin
38,36,RTaschereau
38,42,JHGFauteux
38,47,RARitchie
39,36,RTaschereau
39,40,CHLocke
39,43,DCAbbott
39,47,RARitchie
40,43,DCAbbott
42,40,CHLocke
42,41,JRCartwright
42,45,RMartland
42,47,RARitchie
43,36,RTaschereau
43,42,JHGFauteux
43,43,DCAbbott
44,34,PKerwin
44,36,RTaschereau
44,41,JRCartwright
44,47,RARitchie
45,41,JRCartwright
45,42,JHGFauteux
45,43,DCAbbott
45,45,RMartland
46,41,JRCartwright
46,42,JHGFauteux
46,43,DCAbbott
46,47,RARitchie
47,34,PKerwin
47,41,JRCartwright
47,46,WJudson
47,47,RARitchie
48,34,PKerwin
48,36,RTaschereau
48,46,WJudson
48,47,RARitchie
49,34,PKerwin
49,41,JRCartwright
49,42,JHGFauteux
49,47,RARitchie
50,34,PKerwin
50,41,JRCartwright
50,46,WJudson
50,47,RARitchie
51,40,CHLocke
51,45,RMartland
51,46,WJudson
51,47,RARitchie
52,36,RTaschereau
52,42,JHGFauteux
52,43,DCAbbott
52,47,RARitchie
53,34,PKerwin
53,40,CHLocke
53,45,RMartland
53,46,WJudson
54,41,JRCartwright
54,45,RMartland
54,46,WJudson
54,47,RARitchie
55,34,PKerwin
55,40,CHLocke
55,42,JHGFauteux
55,43,DCAbbott
56,34,PKerwin
56,36,RTaschereau
56,40,CHLocke
56,42,JHGFauteux
57,34,PKerwin
57,41,JRCartwright
57,42,JHGFauteux
