primaryCaseID,justiceID,justiceName,termEnd
1,37,ICRand,4/27/1959
1,40,CHLocke,9/16/1962
1,41,JRCartwright,3/23/1970
1,43,DCAbbott,12/23/1973
1,45,RMartland,2/10/1982
2,36,RTaschereau,9/1/1967
2,37,ICRand,4/27/1959
2,42,JHGFauteux,12/23/1973
2,43,DCAbbott,12/23/1973
2,45,RMartland,2/10/1982
3,34,PKerwin,2/2/1963
3,36,RTaschereau,9/1/1967
3,42,JHGFauteux,12/23/1973
3,43,DCAbbott,12/23/1973
3,46,WJudson,7/20/1977
4,34,PKerwin,2/2/1963
4,36,RTaschereau,9/1/1967
4,42,JHGFauteux,12/23/1973
4,43,DCAbbott,12/23/1973
4,46,WJudson,7/20/1977
5,34,PKerwin,2/2/1963
5,36,RTaschereau,9/1/1967
5,40,CHLocke,9/16/1962
5,42,JHGFauteux,12/23/1973
5,45,RMartland,2/10/1982
6,36,RTaschereau,9/1/1967
6,41,JRCartwright,3/23/1970
6,42,JHGFauteux,12/23/1973
6,43,DCAbbott,12/23/1973
6,45,RMartland,2/10/1982
7,36,RTaschereau,9/1/1967
7,40,CHLocke,9/16/1962
7,42,JHGFauteux,12/23/1973
7,43,DCAbbott,12/23/1973
7,45,RMartland,2/10/1982
8,36,RTaschereau,9/1/1967
8,40,CHLocke,9/16/1962
8,41,JRCartwright,3/23/1970
8,45,RMartland,2/10/1982
8,46,WJudson,7/20/1977
9,37,ICRand,4/27/1959
9,41,JRCartwright,3/23/1970
9,42,JHGFauteux,12/23/1973
9,45,RMartland,2/10/1982
9,46,WJudson,7/20/1977
10,36,RTaschereau,9/1/1967
10,37,ICRand,4/27/1959
10,40,CHLocke,9/16/1962
10,41,JRCartwright,3/23/1970
10,43,DCAbbott,12/23/1973
11,36,RTaschereau,9/1/1967
11,37,ICRand,4/27/1959
11,40,CHLocke,9/16/1962
11,41,JRCartwright,3/23/1970
11,42,JHGFauteux,12/23/1973
11,43,DCAbbott,12/23/1973
11,46,WJudson,7/20/1977
12,36,RTaschereau,9/1/1967
12,37,ICRand,4/27/1959
12,42,JHGFauteux,12/23/1973
12,43,DCAbbott,12/23/1973
12,46,WJudson,7/20/1977
13,36,RTaschereau,9/1/1967
13,41,JRCartwright,3/23/1970
13,42,JHGFauteux,12/23/1973
13,43,DCAbbott,12/23/1973
13,45,RMartland,2/10/1982
14,34,PKerwin,2/2/1963
14,36,RTaschereau,9/1/1967
14,40,CHLocke,9/16/1962
14,42,JHGFauteux,12/23/1973
14,45,RMartland,2/10/1982
15,36,RTaschereau,9/1/1967
15,40,CHLocke,9/16/1962
15,41,JRCartwright,3/23/1970
15,43,DCAbbott,12/23/1973
15,46,WJudson,7/20/1977
16,36,RTaschereau,9/1/1967
16,40,CHLocke,9/16/1962
16,41,JRCartwright,3/23/1970
16,42,JHGFauteux,12/23/1973
16,45,RMartland,2/10/1982
17,40,CHLocke,9/16/1962
17,41,JRCartwright,3/23/1970
17,42,JHGFauteux,12/23/1973
17,43,DCAbbott,12/23/1973
17,45,RMartland,2/10/1982
18,36,RTaschereau,9/1/1967
18,41,JRCartwright,3/23/1970
18,42,JHGFauteux,12/23/1973
18,43,DCAbbott,12/23/1973
18,45,RMartland,2/10/1982
19,40,CHLocke,9/16/1962
19,41,JRCartwright,3/23/1970
19,42,JHGFauteux,12/23/1973
19,43,DCAbbott,12/23/1973
19,45,RMartland,2/10/1982
20,40,CHLocke,9/16/1962
20,41,JRCartwright,3/23/1970
20,42,JHGFauteux,12/23/1973
20,43,DCAbbott,12/23/1973
20,45,RMartland,2/10/1982
21,36,RTaschereau,9/1/1967
21,40,CHLocke,9/16/1962
21,41,JRCartwright,3/23/1970
21,45,RMartland,2/10/1982
21,46,WJudson,7/20/1977
22,34,PKerwin,2/2/1963
22,36,RTaschereau,9/1/1967
22,42,JHGFauteux,12/23/1973
22,43,DCAbbott,12/23/1973
22,46,WJudson,7/20/1977
23,40,CHLocke,9/16/1962
23,41,JRCartwright,3/23/1970
23,42,JHGFauteux,12/23/1973
23,43,DCAbbott,12/23/1973
23,45,RMartland,2/10/1982
24,34,PKerwin,2/2/1963
24,41,JRCartwright,3/23/1970
24,43,DCAbbott,12/23/1973
24,45,RMartland,2/10/1982
24,46,WJudson,7/20/1977
