primaryCaseID,respondentType,respondentCategory,respondentProvince,respondentUS,RespondentWasPlaintiff,respondentID
1,202112,5,0,120,TRUE,374
2,202116,5,0,122,TRUE,375
3,140101,1,14,27,FALSE,376
4,202112,5,0,120,FALSE,377
5,140101,1,14,27,FALSE,378
6,202701,4,0,166,TRUE,379
7,90401,3,9,3,FALSE,380
8,202404,5,0,177,TRUE,381
9,202116,5,0,122,FALSE,382
10,70404,3,7,21,FALSE,383
11,201704,4,0,208,TRUE,384
12,200802,4,0,123,FALSE,385
13,90401,3,9,3,FALSE,386
14,140101,1,14,27,FALSE,387
15,202704,4,0,195,TRUE,388
16,202405,4,0,102,FALSE,389
17,140141,1,14,369,FALSE,390
18,90401,3,9,3,FALSE,391
19,202405,4,0,102,FALSE,392
20,201402,5,0,198,FALSE,393
21,200802,4,0,123,TRUE,394
22,140141,1,14,369,FALSE,395
23,140141,1,14,369,FALSE,396
24,202106,5,0,171,FALSE,397
25,140101,1,14,27,TRUE,398
26,202501,5,0,240,TRUE,399
27,20102,2,2,28,FALSE,400
28,90401,3,9,3,FALSE,401
29,140811,5,14,191,FALSE,402
30,201306,4,0,114,TRUE,403
31,201301,4,0,138,FALSE,404
32,201401,5,0,187,TRUE,405
33,140141,1,14,369,FALSE,406
34,201704,4,0,208,TRUE,407
35,140141,1,14,369,FALSE,408
36,202704,4,0,195,FALSE,409
37,200401,4,0,168,TRUE,410
38,200402,4,0,253,FALSE,411
39,140101,1,14,27,FALSE,412
40,140101,1,14,27,FALSE,413
41,201801,0,0,167,FALSE,414
42,202108,5,0,238,FALSE,415
43,200802,5,0,123,FALSE,416
44,202108,4,0,238,FALSE,417
45,140141,1,14,369,FALSE,418
46,140141,1,14,369,FALSE,419
47,90401,3,9,3,TRUE,420
48,100401,3,10,3,FALSE,421
49,140141,1,14,369,FALSE,422
50,201306,4,0,114,TRUE,423
51,200502,4,0,145,FALSE,424
52,70401,3,7,3,FALSE,425
53,140101,1,14,27,FALSE,426
54,202706,4,0,102,TRUE,427
55,70303,2,7,7,FALSE,428
56,201009,5,0,121,TRUE,429
57,140141,1,14,369,FALSE,430
58,140141,1,14,369,FALSE,431
59,140141,1,14,369,FALSE,1
60,201402,5,0,198,FALSE,2
61,140101,1,14,27,FALSE,3
62,200001,4,0,214,TRUE,4
63,200201,4,0,100,FALSE,5
64,202110,4,0,233,FALSE,6
65,200901,4,0,106,TRUE,7
66,202703,4,0,214,FALSE,8
67,70401,3,7,3,FALSE,9
68,202501,5,0,240,FALSE,10
69,202405,5,0,102,FALSE,11
70,202116,5,0,122,FALSE,12
71,10102,2,1,28,FALSE,13
72,202110,5,0,233,FALSE,14
73,140101,1,14,27,TRUE,15
74,202116,5,0,122,TRUE,16
75,202403,5,0,166,TRUE,17
76,202703,4,0,214,FALSE,18
77,201704,4,0,208,TRUE,19
78,200604,4,0,122,TRUE,20
79,201402,5,0,198,TRUE,21
80,201401,5,0,187,FALSE,22
81,200711,4,0,16,FALSE,23
82,202703,4,0,214,TRUE,24
83,202116,5,0,122,FALSE,25
84,200604,4,0,122,TRUE,26
85,202116,5,0,122,TRUE,27
86,70401,3,7,3,FALSE,28
87,140101,1,14,27,FALSE,29
88,201006,5,0,234,FALSE,30
89,201006,5,0,234,FALSE,31
90,90401,3,9,3,FALSE,32
91,202405,5,0,102,FALSE,33
92,0,0,0,0,FALSE,34
93,140101,1,14,27,FALSE,35
94,200602,4,0,195,TRUE,36
95,202110,4,0,233,FALSE,37
96,202116,5,0,122,TRUE,38
97,200001,4,0,214,TRUE,39
98,200201,4,0,100,FALSE,40
99,202011,5,10,216,FALSE,41
100,201004,5,0,231,FALSE,42
101,200402,4,0,253,TRUE,43
102,141608,1,14,345,TRUE,44
103,202009,5,0,192,FALSE,45
104,202402,4,0,166,FALSE,46
105,202116,5,0,122,TRUE,47
106,202116,5,0,122,TRUE,48
107,200201,4,0,100,FALSE,49
108,201403,5,0,148,FALSE,50
109,202116,5,0,122,TRUE,51
110,201704,4,0,208,TRUE,52
111,202703,4,0,214,FALSE,53
112,200402,4,0,253,TRUE,54
113,202116,5,0,122,TRUE,55
114,140101,1,14,27,FALSE,56
115,100303,2,10,7,FALSE,57
116,202405,4,0,102,FALSE,58
117,202116,5,0,122,TRUE,59
118,200101,4,0,137,FALSE,60
119,201301,4,0,138,FALSE,61
120,140101,1,14,27,FALSE,62
121,202402,4,0,166,FALSE,63
122,140101,1,14,27,TRUE,64
123,140101,1,14,27,FALSE,65
124,140141,1,14,369,FALSE,66
125,202011,5,0,216,TRUE,67
126,200101,4,0,137,FALSE,68
127,200401,4,0,168,FALSE,69
128,200001,4,0,214,TRUE,70
129,140101,1,14,27,FALSE,71
130,70401,3,7,3,FALSE,72
131,200201,4,0,100,FALSE,73
132,200101,4,0,137,FALSE,74
133,202110,4,0,233,TRUE,75
134,202005,5,0,111,FALSE,76
135,200604,4,0,122,FALSE,77
136,200201,4,0,100,FALSE,78
137,200402,4,0,253,TRUE,79
138,140141,1,14,369,FALSE,80
139,201308,5,0,119,TRUE,81
140,202116,5,0,122,FALSE,82
141,140133,1,14,1,FALSE,83
142,201704,4,0,208,TRUE,84
143,200502,4,0,145,FALSE,85
144,202116,5,0,122,TRUE,86
145,90404,5,9,21,FALSE,87
146,141716,1,14,394,FALSE,88
147,200201,4,0,100,FALSE,89
148,202107,5,0,131,TRUE,90
149,202402,4,0,166,FALSE,91
150,20303,2,2,7,FALSE,92
151,202405,4,0,102,TRUE,93
152,202116,5,0,122,FALSE,94
153,140101,1,14,27,FALSE,95
154,201502,4,0,237,TRUE,96
155,70401,3,7,3,FALSE,97
156,0,0,0,0,FALSE,98
157,202403,4,0,166,TRUE,99
158,200201,4,0,100,FALSE,100
159,200201,4,0,100,FALSE,101
160,140141,1,14,369,FALSE,102
161,202101,5,0,184,FALSE,103
162,202116,5,0,122,TRUE,104
163,202403,4,0,166,TRUE,105
164,200402,4,0,253,FALSE,106
165,200402,4,0,253,TRUE,107
166,140101,1,14,27,FALSE,108
167,202116,5,0,122,TRUE,109
168,140141,1,14,369,FALSE,110
169,202103,5,0,160,TRUE,111
170,201704,4,0,208,TRUE,112
171,140101,1,14,27,TRUE,113
172,200502,4,0,145,TRUE,114
173,20401,3,2,3,TRUE,115
174,140141,1,14,369,FALSE,116
175,202301,5,0,232,TRUE,117
176,200201,4,0,100,FALSE,118
177,201006,5,0,234,FALSE,119
178,202116,5,0,122,FALSE,120
179,90401,3,9,3,FALSE,121
180,140141,1,14,369,FALSE,122
181,202116,5,0,122,FALSE,123
182,201308,5,0,119,TRUE,124
183,201704,4,0,208,TRUE,125
184,140101,1,14,27,TRUE,126
185,70401,3,7,3,FALSE,127
186,100102,2,10,28,FALSE,128
187,140301,4,14,335,FALSE,129
188,140101,1,14,27,FALSE,130
189,140101,1,14,27,FALSE,131
190,140101,1,14,27,FALSE,132
191,200101,4,0,137,FALSE,133
192,140101,1,14,27,FALSE,134
193,200101,4,0,137,FALSE,135
194,140101,1,14,27,FALSE,136
195,140301,4,14,335,TRUE,137
196,200401,4,0,168,FALSE,138
197,20302,5,2,122,TRUE,139
198,0,0,0,0,FALSE,140
199,202704,4,0,195,FALSE,141
200,202405,4,0,102,FALSE,142
201,140101,1,14,27,FALSE,143
202,200901,4,0,106,FALSE,144
203,200502,4,0,145,FALSE,145
204,201008,4,0,214,TRUE,146
205,140101,1,14,27,FALSE,147
206,200101,4,0,137,FALSE,148
207,202405,4,0,102,TRUE,149
208,202704,4,0,195,TRUE,150
209,202106,5,0,171,FALSE,151
210,200101,4,0,137,FALSE,152
211,70403,4,7,211,FALSE,153
212,200603,5,0,241,TRUE,154
213,140101,1,14,27,FALSE,155
214,140101,1,14,27,TRUE,156
215,70401,3,7,3,FALSE,157
216,140141,1,14,369,FALSE,158
217,200402,4,0,253,TRUE,159
218,202701,4,0,166,TRUE,160
219,200505,5,0,249,FALSE,161
220,202501,4,0,240,TRUE,162
221,200201,4,0,100,FALSE,163
222,202117,5,0,139,FALSE,164
223,200201,4,0,100,FALSE,165
224,202701,4,0,166,TRUE,166
225,200710,4,0,111,TRUE,167
226,201301,4,0,138,FALSE,168
227,200001,4,0,214,TRUE,169
228,200201,5,0,100,FALSE,170
229,202405,4,0,102,FALSE,171
230,201704,4,0,208,TRUE,172
231,200502,4,0,145,FALSE,173
232,201704,4,0,208,TRUE,174
233,140101,1,14,27,FALSE,175
234,200201,4,0,100,FALSE,176
235,140101,1,14,27,FALSE,177
236,202108,5,0,238,FALSE,178
237,200506,5,0,151,FALSE,179
238,200201,4,0,100,FALSE,180
239,201704,4,0,208,TRUE,181
240,140101,1,14,27,FALSE,182
241,140101,1,14,27,FALSE,183
242,140101,1,14,27,FALSE,184
243,140141,1,14,369,FALSE,185
244,200802,4,0,123,FALSE,186
245,202110,5,0,233,TRUE,187
246,201401,5,0,187,FALSE,188
247,201008,4,0,214,TRUE,189
248,200801,4,0,204,TRUE,190
249,202704,4,0,195,FALSE,191
250,202405,4,0,102,FALSE,192
251,202405,4,0,102,FALSE,193
252,202405,5,0,102,TRUE,194
253,200101,4,0,137,FALSE,195
254,140101,1,14,27,FALSE,196
255,140101,1,14,27,FALSE,197
256,201101,5,0,190,FALSE,198
257,200707,4,0,152,TRUE,199
258,202704,4,0,195,FALSE,200
259,202402,4,0,166,TRUE,201
260,202704,4,0,195,TRUE,202
261,140101,1,14,27,FALSE,203
262,200201,4,0,100,FALSE,204
263,201005,5,0,245,TRUE,205
264,202706,5,0,102,FALSE,206
265,200801,4,0,204,TRUE,207
266,201704,4,0,208,TRUE,208
267,140101,1,14,27,FALSE,209
268,202402,4,0,166,TRUE,210
269,140101,1,14,27,FALSE,211
270,140101,1,14,27,FALSE,212
271,140101,1,14,27,TRUE,213
272,90401,3,9,3,FALSE,214
273,202401,4,0,172,FALSE,215
274,200603,4,0,241,FALSE,216
275,0,0,0,0,FALSE,217
276,202501,5,0,240,TRUE,218
277,201503,4,0,185,TRUE,219
278,202404,5,0,177,FALSE,220
